127.0.0.1 - - [19/Dec/2022:00:02:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:20 +0530] "GET /World_Clock/html/allclock.html HTTP/1.1" 200 9236
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:20 +0530] "GET /World_Clock/css/allclock.css HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:20 +0530] "GET /World_Clock/js/allclock.js HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:20 +0530] "GET /World_Clock/images/bg2.jpg HTTP/1.1" 200 1128909
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:28 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:28 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:28 +0530] "GET /World_Clock/css/signup.css HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:28 +0530] "GET /World_Clock/images/login.jpg HTTP/1.1" 200 349228
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:40 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:40 +0530] "GET /World_Clock/html/signin.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:02:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:03:19 +0530] "GET /World_Clock/html/signin.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:03:20 +0530] "GET /World_Clock/html/signin.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:03:20 +0530] "GET /World_Clock/html/signin.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:03:27 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:03:27 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:03:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:20 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:20 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:29 +0530] "POST /World_Clock/login_ac HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:32 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:39 +0530] "POST /World_Clock/login_ac HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:41 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 200 4157
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/p2.jpeg HTTP/1.1" 200 465664
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/p1.jpeg HTTP/1.1" 200 381513
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/js/home_clock.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/location.jpg HTTP/1.1" 200 3120823
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/p3.jpeg HTTP/1.1" 200 180085
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/mail.png HTTP/1.1" 200 47174
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/call.png HTTP/1.1" 200 29959
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:50 +0530] "GET /World_Clock/images/bg-home.jpg HTTP/1.1" 200 275390
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:05:52 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:28 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:29 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:29 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:29 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:33 +0530] "GET /World_Clock/html/allclock.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:36 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:36 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:06:38 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 200 9266
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:07:09 +0530] "GET /World_Clock/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:07:09 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:07:14 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:00:07:14 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
