127.0.0.1 - - [23/Jan/2023:18:46:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:03 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:03 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:03 +0530] "GET /World_Clock/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:03 +0530] "GET /World_Clock/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:12 +0530] "GET /World_Clock/signup.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:12 +0530] "GET /World_Clock/js/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:12 +0530] "GET /World_Clock/js/https://unpkg.com/sweetalert/dist/sweetalert.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:47:15 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:10 +0530] "POST /World_Clock/login_ac HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:12 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/p1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/js/home_clock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/p3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/p2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/location.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:25 +0530] "GET /World_Clock/images/bg-home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:36 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 200 9260
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:36 +0530] "GET /World_Clock/css/allclock.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:36 +0530] "GET /World_Clock/js/allclock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:36 +0530] "GET /World_Clock/images/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:48:51 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:49:20 +0530] "GET /World_Clock/alaram/alaram.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:49:20 +0530] "GET /World_Clock/alaram/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:49:20 +0530] "GET /World_Clock/alaram/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:49:20 +0530] "GET /World_Clock/alaram/clock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:49:20 +0530] "GET /World_Clock/alaram/ringtone.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:49:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:50:01 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:51:11 +0530] "GET /World_Clock/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:18:51:11 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
