127.0.0.1 - - [09/Feb/2023:21:16:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:16:58 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:16:58 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:16:58 +0530] "GET /World_Clock/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:16:58 +0530] "GET /World_Clock/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:16:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:05 +0530] "GET /World_Clock/signup.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:05 +0530] "GET /World_Clock/js/https://unpkg.com/sweetalert/dist/sweetalert.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:05 +0530] "GET /World_Clock/js/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:08 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:36 +0530] "GET /World_Clock/signup.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:37 +0530] "GET /World_Clock/js/https://unpkg.com/sweetalert/dist/sweetalert.min.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:39 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/p1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/p2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/js/home_clock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/p3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/location.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:17:57 +0530] "GET /World_Clock/images/bg-home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:18 +0530] "GET /World_Clock/profile.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:18 +0530] "GET /World_Clock/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:18 +0530] "GET /World_Clock/images/profile.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:21 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:23 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 200 9260
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:23 +0530] "GET /World_Clock/css/allclock.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:23 +0530] "GET /World_Clock/js/allclock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:23 +0530] "GET /World_Clock/images/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:29 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:30 +0530] "GET /World_Clock/alaram/alaram.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:30 +0530] "GET /World_Clock/alaram/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:30 +0530] "GET /World_Clock/alaram/clock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:30 +0530] "GET /World_Clock/alaram/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:31 +0530] "GET /World_Clock/alaram/ringtone.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:35 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:38 +0530] "GET /World_Clock/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:38 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:49 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:18:49 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:19:13 +0530] "GET /World_Clock/profile.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:19:24 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:23:20 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:23:20 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:23:39 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:43 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:43 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:43 +0530] "GET /World_Clock/css/signup.css HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:44 +0530] "GET /World_Clock/images/login.jpg HTTP/1.1" 200 349228
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/p1.jpeg HTTP/1.1" 200 381513
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/js/home_clock.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/p3.jpeg HTTP/1.1" 200 180085
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/location.jpg HTTP/1.1" 200 3120823
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/p2.jpeg HTTP/1.1" 200 465664
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/mail.png HTTP/1.1" 200 47174
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/call.png HTTP/1.1" 200 29959
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:24:52 +0530] "GET /World_Clock/images/bg-home.jpg HTTP/1.1" 200 275390
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:25:20 +0530] "GET /World_Clock/profile.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:25:20 +0530] "GET /World_Clock/css/profile.css HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:25:20 +0530] "GET /World_Clock/images/profile.jpg HTTP/1.1" 200 227009
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:25:33 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:25:33 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:26:27 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 200 9260
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:26:27 +0530] "GET /World_Clock/css/allclock.css HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:26:27 +0530] "GET /World_Clock/js/allclock.js HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:26:27 +0530] "GET /World_Clock/images/bg2.jpg HTTP/1.1" 200 1128909
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:28:07 +0530] "GET /World_Clock/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2023:21:28:07 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
