127.0.0.1 - - [19/Apr/2023:22:04:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:04:54 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:04:54 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:04:54 +0530] "GET /World_Clock/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:04:54 +0530] "GET /World_Clock/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:04:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/js/home_clock.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/p1.jpeg HTTP/1.1" 200 381513
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/p2.jpeg HTTP/1.1" 200 465664
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/location.jpg HTTP/1.1" 200 3120823
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/p3.jpeg HTTP/1.1" 200 180085
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/mail.png HTTP/1.1" 200 47174
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/call.png HTTP/1.1" 200 29959
0:0:0:0:0:0:0:1 - - [19/Apr/2023:22:05:23 +0530] "GET /World_Clock/images/bg-home.jpg HTTP/1.1" 200 275390
