127.0.0.1 - - [01/Jun/2023:12:03:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:25 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:25 +0530] "GET /World_Clock/signin.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:25 +0530] "GET /World_Clock/css/signup.css HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:25 +0530] "GET /World_Clock/images/login.jpg HTTP/1.1" 200 349228
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "POST /World_Clock/login_ac HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/css/index.css HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/p1.jpeg HTTP/1.1" 200 381513
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/js/home_clock.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/p3.jpeg HTTP/1.1" 200 180085
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/p2.jpeg HTTP/1.1" 200 465664
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/location.jpg HTTP/1.1" 200 3120823
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/mail.png HTTP/1.1" 200 47174
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/call.png HTTP/1.1" 200 29959
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:03:41 +0530] "GET /World_Clock/images/bg-home.jpg HTTP/1.1" 200 275390
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:02 +0530] "GET /World_Clock/profile.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:02 +0530] "GET /World_Clock/css/profile.css HTTP/1.1" 200 2929
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:02 +0530] "GET /World_Clock/images/profile.jpg HTTP/1.1" 200 227009
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:06 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:07 +0530] "GET /World_Clock/profile.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:08 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:13 +0530] "GET /World_Clock/allclock.jsp HTTP/1.1" 200 9260
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:13 +0530] "GET /World_Clock/css/allclock.css HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:13 +0530] "GET /World_Clock/js/allclock.js HTTP/1.1" 200 17214
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:13 +0530] "GET /World_Clock/images/bg2.jpg HTTP/1.1" 200 1128909
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:04:57 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:05:03 +0530] "GET /World_Clock/alaram/alaram.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:05:03 +0530] "GET /World_Clock/alaram/clock.png HTTP/1.1" 200 611224
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:05:03 +0530] "GET /World_Clock/alaram/style.css HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:05:03 +0530] "GET /World_Clock/alaram/script.js HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:05:03 +0530] "GET /World_Clock/alaram/ringtone.mp3 HTTP/1.1" 206 160122
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:06:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jun/2023:12:07:24 +0530] "GET /World_Clock/index.jsp HTTP/1.1" 200 5408
